Nghĩa vụ pháp luật,,,,,,,,,,
Tên văn bản,Số văn bản,Số điều khoản,Ngày hiệu lực,Nghĩa vụ pháp luật,Hành động Techcombank cần thực hiện,Có bắt buộc hay không,Chủ thể tương tác,Chủ thể hoạt động,Nhóm nghĩa vụ,Lý do nhóm nghĩa vụ
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,18.4,01/01/2021,"Điều 18.4. Hồ sơ đăng ký chào bán chứng khoán ra công chúng
4. Hồ sơ đăng ký chào bán trái phiếu chuyển đổi ra công chúng bao gồm:a) Giấy đăng ký chào bán trái phiếu chuyển đổi ra công chúng;b) Tài liệu quy định tại các điểm b, c, g và h khoản 1, điểm d khoản 2 Điều này và văn bản cam kết đáp ứng quy định tại điểm e khoản 1 Điều 15 của Luật này;c) Quyết định của Đại hội đồng cổ đông thông qua phương án phát hành, phương án sử dụng vốn thu được từ đợt chào bán và văn bản cam kết niêm yết hoặc đăng ký giao dịch chứng khoán trên hệ thống giao dịch chứng khoán;d) Cam kết thực hiện nghĩa vụ của tổ chức phát hành đối với nhà đầu tư về điều kiện phát hành, thanh toán, bảo đảm quyền và lợi ích hợp pháp của nhà đầu tư và các điều kiện khác;đ) Các tài liệu khác liên quan đến việc chuyển đổi thành cổ phiếu;e) Cam kết bảo lãnh phát hành (nếu có).","TCB phải chuẩn bị hồ sơ đăng ký chào bán trái phiếu chuyển đổi ra công chúng bao gồm:
• Giấy đăng ký chào bán trái phiếu chuyển đổi ra công chúng;
• Tài liệu quy định tại các điểm b, c, g và h khoản 1, điểm d khoản 2 Điều này và văn bản cam kết đáp ứng quy định tại điểm e khoản 1 Điều 15 của Luật này;
• Quyết định của Đại hội đồng cổ đông thông qua phương án phát hành, phương án sử dụng vốn thu được từ đợt chào bán và văn bản cam kết niêm yết hoặc đăng ký giao dịch chứng khoán trên hệ thống giao dịch chứng khoán;
• Cam kết thực hiện nghĩa vụ của tổ chức phát hành đối với nhà đầu tư về điều kiện phát hành, thanh toán, bảo đảm quyền và lợi ích hợp pháp của nhà đầu tư và các điều kiện khác;
• Các tài liệu khác liên quan đến việc chuyển đổi thành cổ phiếu;
• Cam kết bảo lãnh phát hành (nếu có).",x,Cơ quan nhà nước,TCB,PHÁT HÀNH CHỨNG KHOÁN & HUY ĐỘNG VỐN,"Chủ đề: hồ sơ đăng ký chào bán trái phiếu chuyển đổi ra công chúng | Trigger: phát hành trái phiếu có thể chuyển đổi thành cổ phiếu — một hình thức huy động vốn qua phát hành chứng khoán | → Bước 5 vì trái phiếu chuyển đổi là loại chứng khoán được phát hành để huy động vốn, có thể chuyển thành cổ phần sau này"
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,18.5,01/01/2021,"Điều 18.5. Hồ sơ đăng ký chào bán chứng khoán ra công chúng
5. Hồ sơ đăng ký chào bán chứng chỉ quỹ ra công chúng bao gồm:a) Giấy đăng ký chào bán chứng chỉ quỹ ra công chúng;b) Bản cáo bạch;c) Dự thảo Điều lệ quỹ đầu tư chứng khoán;d) Hợp đồng nguyên tắc về việc giám sát giữa ngân hàng giám sát và công ty quản lý quỹ đầu tư chứng khoán; hợp đồng nguyên tắc về việc phân phối; hợp đồng nguyên tắc ký với các tổ chức cung cấp dịch vụ có liên quan (nếu có);đ) Cam kết bảo lãnh phát hành (nếu có).","TCB phải chuẩn bị hồ sơ đăng ký chào bán chứng chỉ quỹ ra công chúng bao gồm:
• Giấy đăng ký chào bán chứng chỉ quỹ ra công chúng;
• Bản cáo bạch;
• Dự thảo Điều lệ quỹ đầu tư chứng khoán;
• Hợp đồng nguyên tắc về việc giám sát giữa ngân hàng giám sát và công ty quản lý quỹ đầu tư chứng khoán; hợp đồng nguyên tắc về việc phân phối; hợp đồng nguyên tắc ký với các tổ chức cung cấp dịch vụ có liên quan (nếu có);
• Cam kết bảo lãnh phát hành (nếu có).",x,Cơ quan nhà nước,TCB,PHÁT HÀNH CHỨNG KHOÁN & HUY ĐỘNG VỐN,Chủ đề: hồ sơ đăng ký chào bán chứng chỉ quỹ ra công chúng | Trigger: phát hành chứng chỉ quỹ để huy động vốn từ nhà đầu tư | → Bước 5 vì chứng chỉ quỹ là chứng khoán được phát hành bởi quỹ đầu tư để huy động vốn
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,18.6,01/01/2021,"Điều 18.6. Hồ sơ đăng ký chào bán chứng khoán ra công chúng
6. Hồ sơ đăng ký chào bán cổ phiếu, trái phiếu ra công chúng phải kèm theo quyết định của Hội đồng quản trị hoặc Hội đồng thành viên hoặc chủ sở hữu công ty thông qua hồ sơ. Đối với việc chào bán cổ phiếu ra công chúng của tổ chức tín dụng, hồ sơ phải có văn bản chấp thuận của Ngân hàng Nhà nước Việt Nam về thay đổi vốn điều lệ. Đối với việc chào bán chứng khoán ra công chúng của tổ chức kinh doanh bảo hiểm làm thay đổi vốn điều lệ, hồ sơ phải có văn bản chấp thuận của Bộ Tài chính về thay đổi vốn điều lệ.","TCB phải tuân thủ quy định về phê duyệt và chấp thuận hồ sơ đăng ký chào bán chứng khoán ra công chúng:
• Hồ sơ đăng ký chào bán cổ phiếu, trái phiếu ra công chúng phải kèm theo quyết định của Hội đồng quản trị hoặc Hội đồng thành viên hoặc chủ sở hữu công ty thông qua hồ sơ;
• Đối với việc chào bán cổ phiếu ra công chúng của tổ chức tín dụng, hồ sơ phải có văn bản chấp thuận của Ngân hàng Nhà nước Việt Nam về thay đổi vốn điều lệ.",x,Cơ quan nhà nước,Hội đồng quản trị,PHÁT HÀNH CHỨNG KHOÁN & HUY ĐỘNG VỐN,Chủ đề: yêu cầu kèm quyết định nội bộ và văn bản chấp thuận của cơ quan quản lý (NHNN/BTC) khi chào bán làm thay đổi vốn điều lệ | Trigger: hành động phát hành chứng khoán dẫn đến thay đổi vốn điều lệ | → Bước 5 vì liên quan trực tiếp đến thủ tục phát hành chứng khoán và thay đổi vốn điều lệ — thuộc phạm vi huy động vốn
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,18.7,01/01/2021,"Điều 18.7. Hồ sơ đăng ký chào bán chứng khoán ra công chúng
7. Trường hợp một phần hoặc toàn bộ hồ sơ đăng ký chào bán chứng khoán ra công chúng được tổ chức, cá nhân có liên quan xác nhận thì tổ chức phát hành phải gửi văn bản xác nhận của tổ chức, cá nhân đó đến Ủy ban Chứng khoán Nhà nước.","TCB phải gửi văn bản xác nhận của tổ chức, cá nhân có liên quan đến Ủy ban Chứng khoán Nhà nước trong trường hợp một phần hoặc toàn bộ hồ sơ đăng ký chào bán chứng khoán ra công chúng được tổ chức, cá nhân đó xác nhận.",x,Cơ quan nhà nước,TCB,PHÁT HÀNH CHỨNG KHOÁN & HUY ĐỘNG VỐN,"Chủ đề: yêu cầu gửi văn bản xác nhận của bên thứ ba trong hồ sơ chào bán | Trigger: thủ tục hành chính trong quá trình đăng ký phát hành chứng khoán | → Bước 5 vì đây là yêu cầu bổ sung trong hồ sơ phát hành, phục vụ cho hoạt động chào bán chứng khoán ra công chúng"
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,18.8,01/01/2021,"Điều 18.8. Hồ sơ đăng ký chào bán chứng khoán ra công chúng
8. Các thông tin trong hồ sơ đăng ký chào bán chứng khoán ra công chúng phải chính xác, trung thực, không gây hiểu nhầm và có đầy đủ những nội dung quan trọng ảnh hưởng đến việc quyết định của nhà đầu tư.","TCB phải đảm bảo các thông tin trong hồ sơ đăng ký chào bán chứng khoán ra công chúng chính xác, trung thực, không gây hiểu nhầm và có đầy đủ những nội dung quan trọng ảnh hưởng đến việc quyết định của nhà đầu tư.",x,Cơ quan nhà nước,TCB,PHÁT HÀNH CHỨNG KHOÁN & HUY ĐỘNG VỐN,"Chủ đề: yêu cầu thông tin trong hồ sơ phát hành phải chính xác, trung thực | Trigger: nghĩa vụ minh bạch trong quá trình phát hành chứng khoán | → Bước 5 vì đây là điều kiện bắt buộc đối với nội dung hồ sơ chào bán — một phần của quy trình phát hành chứng khoán, không phải nghĩa vụ công bố thông tin định kỳ/bất thường độc lập"
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,18.9,01/01/2021,"Điều 18.9. Hồ sơ đăng ký chào bán chứng khoán ra công chúng
9. Tổ chức phát hành khi nộp hồ sơ đăng ký chào bán chứng khoán ra công chúng đến Ủy ban Chứng khoán Nhà nước thì đồng thời phải nộp hồ sơ đăng ký niêm yết hoặc đăng ký giao dịch chứng khoán theo quy định tại khoản 4 Điều 48 của Luật này, trừ trường hợp chào bán chứng chỉ quỹ mở.","TCB phải nộp hồ sơ đăng ký niêm yết hoặc đăng ký giao dịch chứng khoán theo quy định tại khoản 4 Điều 48 của Luật này đồng thời với việc nộp hồ sơ đăng ký chào bán chứng khoán ra công chúng đến Ủy ban Chứng khoán Nhà nước, trừ trường hợp chào bán chứng chỉ quỹ mở.",x,Cơ quan nhà nước,TCB,PHÁT HÀNH CHỨNG KHOÁN & HUY ĐỘNG VỐN,"Chủ đề: yêu cầu nộp đồng thời hồ sơ đăng ký niêm yết/giao dịch khi nộp hồ sơ chào bán | Trigger: hành động chào bán chứng khoán ra công chúng | → Bước 5 vì đây là thủ tục đi kèm bắt buộc trong quá trình phát hành chứng khoán ra công chúng, nhằm đảm bảo thanh khoản và minh bạch sau phát hành — vẫn thuộc chuỗi hoạt động huy động vốn"
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,19.1,01/01/2021,"Điều 19.1. Bản cáo bạch
1. Đối với việc chào bán cổ phiếu, trái phiếu ra công chúng, Bản cáo bạch bao gồm các nội dung sau đây:a) Thông tin tóm tắt về tổ chức phát hành bao gồm mô hình tổ chức bộ máy, hoạt động kinh doanh, tài sản, tình hình tài chính, Hội đồng quản trị hoặc Hội đồng thành viên hoặc chủ sở hữu công ty, Tổng giám đốc (Giám đốc), Phó Tổng giám đốc (Phó Giám đốc), Kế toán trưởng và cơ cấu cổ đông (nếu có);b) Thông tin về đợt chào bán và chứng khoán chào bán bao gồm: điều kiện chào bán, các yếu tố rủi ro, dự kiến kế hoạch lợi nhuận và cổ tức của năm gần nhất sau khi phát hành chứng khoán, phương án phát hành và phương án sử dụng số tiền thu được từ đợt chào bán;c) Báo cáo tài chính của tổ chức phát hành trong 02 năm gần nhất theo quy định tại Điều 20 của Luật này;d) Thông tin khác quy định trong mẫu Bản cáo bạch.","TCB phải đảm bảo Bản cáo bạch trong việc chào bán cổ phiếu, trái phiếu ra công chúng bao gồm các nội dung sau:
• Thông tin tóm tắt về tổ chức phát hành bao gồm mô hình tổ chức bộ máy, hoạt động kinh doanh, tài sản, tình hình tài chính, Hội đồng quản trị hoặc Hội đồng thành viên hoặc chủ sở hữu công ty, Tổng giám đốc (Giám đốc), Phó Tổng giám đốc (Phó Giám đốc), Kế toán trưởng và cơ cấu cổ đông (nếu có);
• Thông tin về đợt chào bán và chứng khoán chào bán bao gồm: điều kiện chào bán, các yếu tố rủi ro, dự kiến kế hoạch lợi nhuận và cổ tức của năm gần nhất sau khi phát hành chứng khoán, phương án phát hành và phương án sử dụng số tiền thu được từ đợt chào bán;
• Báo cáo tài chính của tổ chức phát hành trong 02 năm gần nhất theo quy định tại Điều 20 của Luật này;
• Thông tin khác quy định trong mẫu Bản cáo bạch.",x,Quản trị nội bộ,"Hội đồng quản trị, Tổng giám đốc, Phó TGĐ, Kế toán trưởng",PHÁT HÀNH CHỨNG KHOÁN & HUY ĐỘNG VỐN,Chủ đề: nội dung Bản cáo bạch khi chào bán cổ phiếu/trái phiếu ra công chúng | Trigger: chào bán chứng khoán ra công chúng (phát hành vốn) | → Bước 5 vì đây là yêu cầu thông tin bắt buộc trong hồ sơ phát hành chứng khoán để huy động vốn
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,19.2,01/01/2021,"Điều 19.2. Bản cáo bạch
2. Đối với việc chào bán chứng chỉ quỹ ra công chúng, Bản cáo bạch bao gồm các nội dung sau đây:a) Loại hình và quy mô quỹ đầu tư chứng khoán;b) Mục tiêu đầu tư, chiến lược đầu tư, phương pháp và quy trình đầu tư, hạn chế đầu tư, các yếu tố rủi ro của quỹ đầu tư chứng khoán;c) Tóm tắt các nội dung cơ bản của dự thảo Điều lệ quỹ đầu tư chứng khoán;d) Phương án phát hành chứng chỉ quỹ và các thông tin hướng dẫn tham gia đầu tư vào quỹ đầu tư chứng khoán;đ) Thông tin tóm tắt về công ty quản lý quỹ đầu tư chứng khoán, ngân hàng giám sát và quy định về giao dịch với người có liên quan của công ty quản lý quỹ đầu tư chứng khoán và ngân hàng giám sát;e) Thông tin khác quy định trong mẫu Bản cáo bạch.","TCB phải đảm bảo Bản cáo bạch trong việc chào bán chứng chỉ quỹ ra công chúng bao gồm các nội dung sau:
• Loại hình và quy mô quỹ đầu tư chứng khoán;
• Mục tiêu đầu tư, chiến lược đầu tư, phương pháp và quy trình đầu tư, hạn chế đầu tư, các yếu tố rủi ro của quỹ đầu tư chứng khoán;
• Tóm tắt các nội dung cơ bản của dự thảo Điều lệ quỹ đầu tư chứng khoán;
• Phương án phát hành chứng chỉ quỹ và các thông tin hướng dẫn tham gia đầu tư vào quỹ đầu tư chứng khoán;
• Thông tin tóm tắt về công ty quản lý quỹ đầu tư chứng khoán, ngân hàng giám sát và quy định về giao dịch với người có liên quan của công ty quản lý quỹ đầu tư chứng khoán và ngân hàng giám sát;
• Thông tin khác quy định trong mẫu Bản cáo bạch.",x,Quản trị nội bộ,"Hội đồng quản trị, Tổng giám đốc",PHÁT HÀNH CHỨNG KHOÁN & HUY ĐỘNG VỐN,"Chủ đề: nội dung Bản cáo bạch khi chào bán chứng chỉ quỹ ra công chúng | Trigger: chào bán chứng chỉ quỹ (hình thức huy động vốn cho quỹ) | → Bước 5 vì Bản cáo bạch là tài liệu cốt lõi trong hồ sơ chào bán chứng khoán ra công chúng, thuộc nghĩa vụ phát hành/huy động vốn"
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,19.3,01/01/2021,"Điều 19.3. Bản cáo bạch
3. Chữ ký trong Bản cáo bạch thực hiện theo quy định sau đây:a) Đối với việc chào bán cổ phiếu, trái phiếu ra công chúng, Bản cáo bạch phải có chữ ký của những người sau đây: Chủ tịch Hội đồng quản trị hoặc Chủ tịch Hội đồng thành viên, Chủ tịch công ty; Tổng giám đốc (Giám đốc); Giám đốc tài chính hoặc Kế toán trưởng của tổ chức phát hành; người đại diện theo pháp luật của tổ chức tư vấn hồ sơ đăng ký chào bán chứng khoán ra công chúng, tổ chức bảo lãnh phát hành hoặc tổ chức bảo lãnh phát hành chính (nếu có). Trường hợp ký thay phải có văn bản ủy quyền;b) Đối với việc chào bán chứng chỉ quỹ ra công chúng, Bản cáo bạch phải có chữ ký của những người sau đây: Chủ tịch Hội đồng quản trị hoặc Chủ tịch Hội đồng thành viên, Chủ tịch công ty; Tổng giám đốc (Giám đốc) của công ty quản lý quỹ đầu tư chứng khoán; người đại diện theo pháp luật của tổ chức bảo lãnh phát hành (nếu có). Trường hợp ký thay phải có văn bản ủy quyền.","TCB phải tuân thủ quy định về chữ ký trong Bản cáo bạch như sau:
• Đối với việc chào bán cổ phiếu, trái phiếu ra công chúng, Bản cáo bạch phải có chữ ký của những người sau đây: Chủ tịch Hội đồng quản trị hoặc Chủ tịch Hội đồng thành viên, Chủ tịch công ty; Tổng giám đốc (Giám đốc); Giám đốc tài chính hoặc Kế toán trưởng của tổ chức phát hành; người đại diện theo pháp luật của tổ chức tư vấn hồ sơ đăng ký chào bán chứng khoán ra công chúng, tổ chức bảo lãnh phát hành hoặc tổ chức bảo lãnh phát hành chính (nếu có). Trường hợp ký thay phải có văn bản ủy quyền;
• Đối với việc chào bán chứng chỉ quỹ ra công chúng, Bản cáo bạch phải có chữ ký của những người sau đây: Chủ tịch Hội đồng quản trị hoặc Chủ tịch Hội đồng thành viên, Chủ tịch công ty; Tổng giám đốc (Giám đốc) của công ty quản lý quỹ đầu tư chứng khoán; người đại diện theo pháp luật của tổ chức bảo lãnh phát hành (nếu có). Trường hợp ký thay phải có văn bản ủy quyền.",x,Quản trị nội bộ,"Hội đồng quản trị, Tổng giám đốc, Kế toán trưởng",PHÁT HÀNH CHỨNG KHOÁN & HUY ĐỘNG VỐN,Chủ đề: yêu cầu chữ ký trên Bản cáo bạch trong chào bán chứng khoán ra công chúng | Trigger: chào bán chứng khoán ra công chúng | → Bước 5 vì đây là quy định về thủ tục và trách nhiệm liên quan trực tiếp đến hồ sơ phát hành chứng khoán
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,19.4,01/01/2021,"Điều 19.4. Bản cáo bạch
4. Bộ trưởng Bộ Tài chính ban hành mẫu Bản cáo bạch.",,,,,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,20.1,01/01/2021,"Điều 20.1. Báo cáo tài chính
1. Báo cáo tài chính được lập theo quy định của pháp luật về kế toán.",TCB phải lập báo cáo tài chính theo quy định của pháp luật về kế toán.,x,Quản trị nội bộ,Cá nhân/Bộ phận,CÔNG BỐ THÔNG TIN & BÁO CÁO,"Chủ đề: lập báo cáo tài chính theo quy định kế toán | Trigger: nghĩa vụ báo cáo tài chính định kỳ | → Bước 6 vì nội dung chính là báo cáo tài chính, thuộc nghĩa vụ công bố thông tin & báo cáo"
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,20.2,01/01/2021,"Điều 20.2. Báo cáo tài chính
2. Trường hợp tổ chức phát hành là công ty mẹ thì tổ chức phát hành phải nộp báo cáo tài chính hợp nhất theo quy định của pháp luật về kế toán.",TCB phải nộp báo cáo tài chính hợp nhất theo quy định của pháp luật về kế toán (do TCB là công ty mẹ).,x,Quản trị nội bộ,Cá nhân/Bộ phận,CÔNG BỐ THÔNG TIN & BÁO CÁO,"Chủ đề: nộp báo cáo tài chính hợp nhất khi là công ty mẹ | Trigger: nghĩa vụ báo cáo tài chính mở rộng cho tập đoàn | → Bước 6 vì vẫn thuộc phạm vi báo cáo tài chính, không liên quan đến cấp phép, quản trị hay giao dịch NLQ"
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,20.3,01/01/2021,"Điều 20.3. Báo cáo tài chính
3. Báo cáo tài chính năm phải được kiểm toán bởi tổ chức kiểm toán được chấp thuận thực hiện kiểm toán cho đơn vị có lợi ích công chúng thuộc lĩnh vực chứng khoán. Ý kiến kiểm toán đối với các báo cáo tài chính là ý kiến chấp nhận toàn phần; trường hợp ý kiến kiểm toán là ý kiến ngoại trừ thì khoản ngoại trừ không ảnh hưởng đến điều kiện chào bán; tổ chức phát hành phải có tài liệu giải thích hợp lý và có xác nhận của tổ chức kiểm toán về ảnh hưởng của việc ngoại trừ.","TCB phải:
• Đảm bảo báo cáo tài chính năm được kiểm toán bởi tổ chức kiểm toán được chấp thuận thực hiện kiểm toán cho đơn vị có lợi ích công chúng thuộc lĩnh vực chứng khoán;
• Đảm bảo ý kiến kiểm toán đối với các báo cáo tài chính là ý kiến chấp nhận toàn phần; trường hợp ý kiến kiểm toán là ý kiến ngoại trừ thì khoản ngoại trừ không ảnh hưởng đến điều kiện chào bán;
• Có tài liệu giải thích hợp lý và có xác nhận của tổ chức kiểm toán về ảnh hưởng của việc ngoại trừ.",x,Cơ quan nhà nước,Cá nhân/Bộ phận,CÔNG BỐ THÔNG TIN & BÁO CÁO,"Chủ đề: yêu cầu kiểm toán báo cáo tài chính năm bởi tổ chức được chấp thuận, với điều kiện về ý kiến kiểm toán | Trigger: nghĩa vụ kiểm toán báo cáo tài chính phục vụ chào bán | → Bước 6 vì đây là yêu cầu liên quan đến chất lượng và tính minh bạch của báo cáo tài chính — một phần của nghĩa vụ công bố thông tin"
